tier,category,sub_category,app_name,package_id,source,priority,auth_required,installed,device_verified,status,notes
androidworld_fdroid,Productivity,Notes,Markor,net.gsantner.markor,F-Droid,High,none,true,true,ok,AndroidWorld target; offline markdown editor
androidworld_fdroid,Productivity,Notes,Joplin,net.cozic.joplin,F-Droid,High,account_optional,true,true,ok,AndroidWorld target; sync optional
androidworld_fdroid,Productivity,Tasks,Tasks.org,org.tasks,F-Droid,High,none,true,true,ok,AndroidWorld target
androidworld_fdroid,Productivity,Calendar,Simple Calendar Pro,com.simplemobiletools.calendar.pro,F-Droid,High,none,true,true,ok,AndroidWorld pins a specific SimpleMobileTools fork
androidworld_fdroid,Media,Gallery,Simple Gallery Pro,com.simplemobiletools.gallery.pro,F-Droid,High,none,true,true,ok,AndroidWorld pins a specific SimpleMobileTools fork
androidworld_fdroid,Media,Video,VLC for Android,org.videolan.vlc,F-Droid,High,none,true,true,ok,AndroidWorld target
androidworld_fdroid,Media,Music,Retro Music Player,code.name.monkey.retromusic,F-Droid,High,none,true,true,ok,AndroidWorld target
androidworld_fdroid,Navigation,Maps,OsmAnd,net.osmand,F-Droid,High,none,true,true,ok,AndroidWorld target; heavy offline maps
androidworld_fdroid,Health,Tracking,OpenTracks,de.dennisguse.opentracks,F-Droid,Medium,none,true,true,ok,AndroidWorld target
androidworld_fdroid,Food,Recipes,Broccoli,com.flauschcode.broccoli,F-Droid,Medium,none,true,true,ok,AndroidWorld target
androidworld_fdroid,Communication,Contacts,Google Contacts,com.google.android.contacts,System,High,account_optional,true,true,ok,preinstalled on Pixel 6
androidworld_fdroid,Communication,Phone,Google Phone,com.google.android.dialer,System,Medium,none,true,true,ok,preinstalled on Pixel 6
androidworld_fdroid,Utility,Clock,Google Clock,com.google.android.deskclock,System,Medium,none,true,true,ok,preinstalled on Pixel 6
androidworld_fdroid,System,Settings,Android Settings,com.android.settings,System,High,none,true,true,ok,preinstalled; deep hierarchy
fdroid,Communication,Contacts,Simple Contacts Pro,com.simplemobiletools.contacts.pro,F-Droid,Medium,none,false,true,excluded,수집 제외 (2026-08-28): F-Droid 인덱스에서 제거됨(SimpleMobileTools 인수 후). AndroidWorld pin 세트에도 없음 — 획득 경로 없음.
fdroid,Media,Video,Newpipe (clone),com.emijotify.feesound,PlayStore,High,none,true,true,clone_accepted,"device-resident app labelled ""Newpipe""; NOT the real F-Droid NewPipe (org.schabi.newpipe). Kept deliberately: collect what is installed."
fdroid,Media,Music,Metro,io.github.muntashirakon.Music,F-Droid,Medium,none,false,false,excluded,수집 제외 (2026-08-28): F-Droid 에 존재하나(versionCode 10603) 이 환경에서 /repo 바이너리 다운로드가 TLS 검증 실패로 불가.
fdroid,Media,Music,Simple Music Player,com.simplemobiletools.musicplayer,F-Droid,Medium,none,true,true,ok,
fdroid,Navigation,Maps,Organic Maps,app.organicmaps,F-Droid,Medium,none,true,true,ok,
fdroid,Finance,Accounting,GnuCash for Android,org.gnucash.android,F-Droid,Medium,none,false,true,excluded,"수집 제외 (2026-08-28): F-Droid 인덱스에 없음(""not in F-Droid index"", 2026-07-14 MISSING.json 원장으로도 확인)."
fdroid,Utility,Files,Material Files,me.zhanghai.android.files,F-Droid,Medium,none,true,true,ok,user wrote 'metrical files'
fdroid,Media,Camera,Open Camera,net.sourceforge.opencamera,F-Droid,Medium,none,true,true,ok,
playstore,Productivity,Notes,Google Keep,com.google.android.keep,PlayStore,High,account_required,true,true,ok,logged in via com.google account
playstore,Productivity,Notes,Notion,notion.id,PlayStore,High,account_required,true,true,ok,
playstore,Productivity,Notes,Obsidian,md.obsidian,PlayStore,High,none,true,true,ok,local vault works without account
playstore,Productivity,Tasks,TickTick,com.ticktick.task,PlayStore,Medium,account_required,false,true,excluded,수집 제외 (2026-08-28): split APK — 캐시된 base.apk 단독 설치가 INSTALL_FAILED_MISSING_SPLIT 로 실패. install-multiple 용 split 세트 필요.
playstore,Productivity,Tasks,Todoist,com.todoist,PlayStore,High,account_required,true,true,ok,
playstore,Productivity,Calendar,Google Calendar,com.google.android.calendar,PlayStore,High,account_optional,true,true,ok,
playstore,Communication,Messaging,Signal,org.thoughtcrime.securesms,PlayStore,High,account_required,true,true,ok,
playstore,Communication,Messaging,Telegram,org.telegram.messenger,PlayStore,High,account_required,true,true,ok,account 8406050987 present in dumpsys account
playstore,Communication,Messaging,Discord,com.discord,PlayStore,High,account_required,true,true,ok,
playstore,Communication,Messaging,Slack,com.Slack,PlayStore,Medium,account_required,true,true,ok,
playstore,Communication,Messaging,WhatsApp,com.whatsapp,PlayStore,High,account_required,true,true,ok,account present in dumpsys account
playstore,Media,Video,YouTube,com.google.android.youtube,PlayStore,High,account_optional,true,true,ok,
playstore,Media,Music,Spotify,com.spotify.music,PlayStore,High,account_required,true,true,ok,
playstore,Media,Music,YouTube Music,com.google.android.apps.youtube.music,PlayStore,Medium,account_optional,true,true,ok,
playstore,Media,Photos,Google Photos,com.google.android.apps.photos,PlayStore,High,account_required,true,true,ok,
playstore,Media,PhotoEditor,Snapseed,com.niksoftware.snapseed,PlayStore,Medium,none,true,true,ok,resolved from device: user wrote 'snapped'
playstore,Media,PhotoEditor,Photo Editor,com.iudesk.android.photo.editor,PlayStore,Medium,none,true,true,ok,resolved from device: user wrote 'photo editor'
playstore,Media,Drawing,Autodesk SketchBook,com.adsk.sketchbook,PlayStore,Medium,account_optional,true,true,ok,
playstore,Navigation,Maps,Google Maps,com.google.android.apps.maps,PlayStore,High,account_optional,true,true,ok,
playstore,Health,Fitness,Google Fit,com.google.android.apps.fitness,PlayStore,Medium,account_required,true,true,ok,
playstore,Health,Fitness,Strava,com.strava,PlayStore,High,account_required,true,true,ok,user wrote 'strata'
playstore,Health,Fitness,Nike Training Club,com.nike.ntc,PlayStore,Medium,account_required,true,true,ok,nike auth account present in dumpsys account
playstore,Health,Fitness,Nike Run Club,com.nike.plusgps,PlayStore,Medium,account_required,true,true,ok,
playstore,Food,Recipes,Kitchen Stories,com.ajnsnewmedia.kitchenstories,PlayStore,Medium,account_optional,true,true,ok,user wrote 'kitchen stroies'
playstore,Food,Recipes,Yummely,com.yummely.app,PlayStore,Medium,account_optional,true,true,clone_accepted,"device-resident app labelled ""Yummely""; a different app from Yummly (com.yummly.android). Kept deliberately: collect what is installed."
playstore,Food,Recipes,Cookpad,com.mufumbo.android.recipe.search,PlayStore,Medium,account_optional,true,true,ok,
playstore,Finance,Expense,Wallet,com.droid4you.application.wallet,PlayStore,Medium,account_optional,true,true,ok,"resolved from device: BudgetBakers Wallet, NOT Google Wallet (walletnfcrel absent)"
playstore,Browser,Web,Firefox,org.mozilla.firefox,PlayStore,High,none,true,true,ok,
playstore,Browser,Web,Brave Browser,com.brave.browser,PlayStore,High,none,true,true,ok,
playstore,Utility,Files,Files by Google,com.google.android.apps.nbu.files,PlayStore,Medium,none,true,true,ok,
